fingerprint 2C8 3A4 2D6 2C9 1A2 2C19
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010100000000001001010001100000101001011011110 0.119186408 0.096910013 0.031517051 0.187086643 0.107905397 0.15490196
1000000000000000000000000000000000000000010000100010000000111001101100001000101010100001010000111100010011111011100100011001111000010100110111111001011110111000000000 1.240332155 0.259637311 0.872895202 0.716698771 1.189767482 1.537602002
0000000000000000001000100000000000000000000000000100000000000100100000000011000000001110000000000111001011101110010011011110111110000100110111011011000011111111111000 1.530177984 0.207608311 1.552841969 0.22184875 0.000435 3
0000000000000000000000000100000000000000000000000100000010000000000000000001000000000000101000000110000110010000011100000010011110010001101110101110110101101011001110 0.818156412 1.473660723 0.167491087 0.124938737 0.000435 0.096910013
0000000000000000000000000000000000000000010000000000010000000000100000000000000001000000011000100101000111100011000001011000101111100100101111001010001110011100111110 0.107905397 0.187086643 0.826813732 0.107905397 0.119186408 0.13076828
0000000000000000000000000000000000000000000000000000000010000000000000010001000000100000100010010110000010000000100000010010111000000000100110111100010101001011011110 0.180456064 0.142667504 0.795880017 0.15490196 3 0.53313238
0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000100000000010111000000000001010101100100101001011011110 0.096910013 0.000435 0.000435 0.022276395 0.086186148 0.000435
0000000000000010000000010000000000000000000010001100000100000110000001100001000000001100000011101111010000001010001100101111111011011011110111001111111011110000000000 1.806875402 2.173925197 1.48148606 2.420216403 0.119186408 1.798602876
0000000000000000000000010000000000000000000010001100000100000110000001100001000000000000000011001110010000000000000000101111011001001011110111011101111001011111111110 0.987162775 0.000435 0.086186148 0.167491087 3 0.167491087
1000000000000000000000000000000000000000010010000100000000000100000000000011001101001110101000001111000110100010010001011110001111101111111111111111011111000000000000 1.562249437 3 1.286509457 1.326058001 0.920818754 1.36251027
0000000000000000000000000000000000000001000000101010000000101001101000000000101010100001010010111100010011000010100100011001111000010000110111111101111110111011110000 0.886056648 0.22184875 0.055517328 0.167491087 0.787812396 0.292429824
0000000000000000000000000000000000000000000000000000000000000000000000000100000000001100000010100001000000001010001100000100110000010000010010011011110110101101111110 0.22184875 0.086186148 0.616184634 0.000435 0.022276395 0.065501549
0000000100100000000000000100000000000000000000000100010010000000010000010101000000000000100100101010100110011101000110000010111010110001101110101100111111011111111100 0.096910013 0.15490196 0.055517328 0.13076828 0.13076828 0.13076828
0000000000000000000000000001000000000000010000000000000010000100000000010000000001100110111000011101000110101010100000011010111110000100110010111110011110101110111110 0.26760624 0.68131073 2.036212173 0.236572006 1.09420412 0.927750102
0000000000000000000000000000000000010000000000000000000000100000000000000010001111001111001000100101001110101010000001011100101111010110111111011011000010111100111110 0.259637311 0.259637311 2.677780705 0.236572006 2.13076828 0.627087997
0000000000000000000000000000000000001000010000000000000000000100000100000010101100101110001000010101000011100110000011011100101111001110110111111011011011110100111000 0.167491087 0.142667504 0.180456064 0.107905397 0.167491087 0.096910013
0000000000000000000000000100000000000000000000000100000010000000000000000001000000000000101000000110000110010000011100000010011110010001101110101110110101101011001110 0.000435 0.000435 0.000435 0.000435 0.000435 0.008773924
0000000000000000000000000000000000010000000000000000000000100000000000000110001010001101000010000101000010000010001100011100101001000010110111011001100010110101111010 0.107905397 0.119186408 1.308034897 0.036212173 1.860120914 0.229147988
0000000000000000000000000000000000000000000000000000010000000000000000010100000001000000010000101001000110001000100100000000111000110000011010101000101110111111111110 0.000435 0.739928612 1.258848401 0.050609993 1.054531415 1.050122296
0000000000000000000000000000000000000000000000000000110010000100000000010001000000000000100000000110000010000000100000000000101000100000101110111100010101001010011110 1.8569852 0.259637311 0.978810701 0.991399828 1.809668302 0.725842151
0000000000000000000000000000000000000000000000000000000000000000000000000010001000001000011100100101000110011110010010001110111110100001111111011111111011111111111000 0.086186148 0.000435 0.000435 0.000435 0.000435 0.000435
0000000000000000000000000000000001000000000000000000000000000000100000000000000000001100011010100111000010000010100000011100111110000000111111101011000110011111111110 0.301029996 0.142667504 3 0.13076828 0.055517328 0.739928612
0000000000000000000000000000000000000000000000000000000000000000000000010010001000001100001110101101000100001110100011011100111111111010111111111111111111111000000000 0.000435 0.22184875 0.000435 0.000435 0.000435 0.000435
0000000000000000000000000000000000000000000000000000000000000100000000000000000000000010010010000000001110110010000100000000101000001100000110011010011000010101111010 0.256490235 0.696156225 1.484126156 0.236572006 0.854492829 1.205511953
0000000000000000000000000100000000000000000000000100000010000000010000000101000000000000101000000110000110010001011100000010011110010001101110101110110101101011001110 1.431798276 1.675717545 0.142667504 0.167491087 0.086186148 0.107905397
0000000000000000000000000000000000000000000000000100000000000000000000000101000000001100000010100011000000001010111100000100111000010000010110101011100110101101111110 0.844663963 0.251811973 0.148741651 0.187086643 0.142667504 0.863279433
0000000000000000000000000000000000000000000000000000000000000000010000000110000000001100011000000101000100000011000001001100100110110000111110001011100110101111111110 0.283996656 1.187086643 1.187086643 0.180456064 0.119186408 0.187086643
0000000000000000000000000000000000010000000000000000000000000000000000000010000010101111000000010101001010100010000000011100101110000100110010011011010010100100111010 0.22184875 0.000435 0.72514968 0.167491087 0.757707095 1.603800653
0000000000000000000000000000000000000000100000000000000000000000010000010100000000001100000010000001000000010011101101100100111110000000010111111111110110101111111110 0.167491087 0.834162375 0.15490196 0.15490196 0.055517328 0.096910013
0000000000000000000000000000000000000000000000000100000010000000000000000001000000000000101000000110000010000000101000000010101000010001101110111100010101101011011110 0.15490196 0.000435 0.017728767 1.080398976 0.026872146 0.036212173
